"player_id","_c1"
"bagbyji01","17"
"bagbyji02","10"
"bagwebi01","8"
"bagweje01","152"
"bahnsst01","6"
"bahred01","2"
"bahrefr01","0"
"baichgr01","0"
"bailean01","0"
"bailebi01","6"
"bailebi02","1"
"bailebo01","87"
"baileco01","2"
"baileed01","59"
"bailefr01","9"
"bailege01","71"
"baileha01","3"
"baileho01","NULL"
"baileho02","7"
"baileje01","14"
"baileji01","0"
"baileki01","2"
"bailema01","47"
"bailero01","9"
"bailesc01","0"
"bailest01","0"
"bailesw01","1"
"bailobo01","74"
"baineha01","89"
"bainlo01","1"
"bairdal01","8"
"bairdbo01","0"
"bairddo01","49"
"bairdo01","1"
"baislje01","1"
"bajenje01","0"
"bakelje01","21"
"bakenda01","0"
"bakeral01","0"
"bakerbi01","13"
"bakerbo01","0"
"bakerch01","5"
"bakerch02","8"
"bakerda01","3"
"bakerde01","16"
"bakerdo01","17"
"bakerdu01","101"
"bakerer01","0"
"bakerfl01","61"
"bakerfr01","116"
"bakerfr02","21"
"bakerfr03","10"
"bakerge01","39"
"bakerge02","82"
"bakerho01","4"
"bakerja01","1"
"bakerje01","0"
"bakerje02","0"
"bakerje03","55"
"bakerjo01","59"
"bakerki01","9"
"bakerne01","0"
"bakerno01","15"
"bakerph01","75"
"bakersc01","NULL"
"bakersc02","1"
"bakerst01","0"
"bakerto01","3"
"bakerto02","0"
"bakertr01","0"
"bakopa01","30"
"balasmi01","0"
"balazjo01","10"
"balbost01","74"
"balcebo01","2"
"baldero01","89"
"baldsja01","3"
"baldwbi01","8"
"baldwda01","1"
"baldwfr01","0"
"baldwha01","4"
"baldwhe01","1"
"baldwja01","1"
"baldwje01","1"
"baldwki01","46"
"baldwla01","25"
"baldwma01","27"
"baldwof01","0"
"baldwre01","5"
"baldwri01","1"
"balejo01","0"
"balenmi01","17"
"balenwl01","23"
"balesco01","1"
"balesle01","4"
"balfogr01","0"
"ballaje01","0"
"ballar01","7"
"balleja01","0"
"ballepe01","0"
"ballima01","1"
"ballje01","0"
"ballji01","3"
"ballne01","45"
"ballowi01","3"
"balsato01","1"
"bambege01","0"
"bambeha01","0"
"banckst01","3"
"bancrda01","121"
"bandoch01","38"
"bandosa01","106"
"baneed01","0"
"baneydi01","0"
"banisje01","0"
"bankhda01","3"
"bankhsc01","0"
"banksbi01","0"
"banksbr01","34"
"bankser01","119"
"banksev01","6"
"banksge01","22"
"banksjo01","3"
"bankswe01","4"
"bankswi01","3"
"bannial01","87"
"bannibr01","2"
"bannifl01","4"
"banniji01","0"
"bannoji01","130"
"bannoto01","33"
"bantaja01","2"
"baptitr01","NULL"
"barajro01","53"
"barbare01","0"
"barbawa01","66"
"barbebr01","45"
"barbebr02","0"
"barbech01","38"
"barbeda01","37"
"barbefr01","0"
"barbeja01","60"
"barbest01","6"
"barbest02","0"
"barbetu01","73"
"barbiji01","9"
"barcelo01","NULL"
"barclcu01","4"
"barclge01","79"
"bardda01","0"
"bardebr01","13"
"bardjo01","42"
"barera01","1"
"barfije01","107"
"barfijo01","0"
"barfijo02","72"
"barfocl01","3"
"bargagr01","0"
"bargecy01","16"
"barkbr01","NULL"
"barkeal01","0"
"barkean01","5"
"barkegl01","23"
"barkeke01","14"
"barkele01","2"
"barkera01","21"
"barkeri01","0"
"barkese01","0"
"barklbr01","NULL"
"barklje01","NULL"
"barklre01","9"
"barklsa01","77"
